Observation,Cruise/Field Campaign,Station Number,Station Date(YYYY/MM/DD),Year,Month,Day,Latitude,Longitude,Sector,Ice Thickness (m),Snow Thickness (m),Freeboard (m),Comment
441,AURORA,4-1B,20041025,2004,10,25,-64.709,107.748,Australian,0.34,0.1,-99.9,
442,AURORA,4-1C,20041025,2004,10,25,-64.709,107.748,Australian,0.3,0.1,-99.9,
443,AURORA,4-2A,20041025,2004,10,25,-64.709,107.748,Australian,0.35,0.1,-99.9,
444,AURORA,4-2B,20041025,2004,10,25,-64.709,107.748,Australian,0.5,0.1,-99.9,
445,AURORA,4-2C,20041025,2004,10,25,-64.709,107.748,Australian,0.46,0.1,-99.9,
446,AURORA,4-3A,20041025,2004,10,25,-64.709,107.748,Australian,0.45,0.1,-99.9,
447,AURORA,4-3B,20041025,2004,10,25,-64.709,107.748,Australian,0.49,0.1,-99.9,
448,AURORA,4-3C,20041025,2004,10,25,-64.709,107.748,Australian,0.54,0.1,-99.9,
449,AURORA,E5,20041026,2004,10,26,-64.873,107.81,Australian,0.68,-99.9,-99.9,
450,AURORA,F5,20041026,2004,10,26,-64.45,107.433,Australian,0.52,-99.9,-99.9,
451,AURORA,05. Jan,20041027,2004,10,27,-64.941,106.811,Australian,0.58,0.175,-99.9,
452,AURORA,05. Feb,20041027,2004,10,27,-64.941,106.811,Australian,0.56,0.175,-99.9,
453,AURORA,5-3A,20041027,2004,10,27,-64.941,106.811,Australian,0.57,0.175,-99.9,
454,AURORA,5-3B,20041027,2004,10,27,-64.941,106.811,Australian,0.56,0.175,-99.9,
455,AURORA,5-3C,20041027,2004,10,27,-64.941,106.811,Australian,0.56,0.175,-99.9,
456,AURORA,G5,20041028,2004,10,28,-64.567,107.617,Australian,0.75,-99.9,-99.9,
457,AURORA,06. Jan,20041028,2004,10,28,-64.567,107.617,Australian,0.62,0.075,-99.9,
458,AURORA,06. Feb,20041028,2004,10,28,-64.567,107.617,Australian,0.68,0.075,-99.9,
459,AURORA,6-3A,20041028,2004,10,28,-64.567,107.617,Australian,0.61,0.075,-99.9,
460,AURORA,6-3B,20041028,2004,10,28,-64.567,107.617,Australian,0.64,0.075,-99.9,
461,AURORA,6-3C,20041028,2004,10,28,-64.567,107.617,Australian,0.61,0.075,-99.9,
462,AURORA,07. Jan,20041028,2004,10,28,-64.313,108.012,Australian,0.9,0.4,-99.9,
463,AURORA,07. Feb,20041028,2004,10,28,-64.313,108.012,Australian,0.88,0.4,-99.9,
464,AURORA,7-3A,20041028,2004,10,28,-64.313,108.012,Australian,0.55,0.4,-99.9,
465,AURORA,7-3B,20041028,2004,10,28,-64.313,108.012,Australian,0.45,0.4,-99.9,
466,AURORA,7-3C,20041028,2004,10,28,-64.313,108.012,Australian,0.32,0.4,-99.9,
467,AURORA,8-1A,20041029,2004,10,29,-64.354,107.285,Australian,0.41,0.15,-99.9,
468,AURORA,8-1B,20041029,2004,10,29,-64.354,107.285,Australian,0.39,0.15,-99.9,
469,AURORA,8-1C,20041029,2004,10,29,-64.354,107.285,Australian,0.4,0.15,-99.9,
470,AURORA,9-1A,20041030,2004,10,30,-64.467,107,Australian,0.54,0.15,-99.9,
471,AURORA,9-1B,20041030,2004,10,30,-64.467,107,Australian,0.54,0.15,-99.9,
472,AURORA,9-1C,20041030,2004,10,30,-64.467,107,Australian,0.5,0.15,-99.9,
473,AURORA,09. Feb,20041030,2004,10,30,-64.467,107,Australian,0.64,0.15,-99.9,
474,AURORA,09. Mrz,20041030,2004,10,30,-64.467,107,Australian,0.63,0.15,-99.9,
475,AURORA,10-1A,20041103,2004,11,3,-64.938,110.772,Australian,0.45,0.35,-99.9,
476,AURORA,10-1B,20041103,2004,11,3,-64.938,110.772,Australian,0.27,0.35,-99.9,
477,AURORA,10-1C,20041103,2004,11,3,-64.938,110.772,Australian,0.49,0.35,-99.9,
478,AURORA,10. Feb,20041103,2004,11,3,-64.938,110.772,Australian,0.93,0.35,-99.9,
479,AURORA,10. Mrz,20041103,2004,11,3,-64.938,110.772,Australian,0.4,0.35,-99.9,
480,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041114,2004,11,14,-59.21,-17.99,Atlantic,1.28,0.42,-0.04,
481,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041114,2004,11,14,-59.21,-17.99,Atlantic,1.32,0.42,-0.04,
482,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041114,2004,11,14,-59.21,-17.99,Atlantic,1.42,0.42,-0.04,
483,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041115,2004,11,15,-60.93,-22.59,Atlantic,0.8,0.2,0,
484,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041116,2004,11,16,-61.47,-24.38,Atlantic,0.755,0.25,0,
485,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041116,2004,11,16,-61.47,-24.38,Atlantic,0.595,0.25,0,
486,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041116,2004,11,16,-61.47,-24.38,Atlantic,0.99,0.25,0,
487,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004_Fripiat,20041117,2004,11,17,-62.8,-27.9,Atlantic,1.05,-99.9,-99.9,
488,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041118,2004,11,18,-64.03,-32.05,Atlantic,0.42,0.4,-0.06,
489,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041118,2004,11,18,-64.03,-32.05,Atlantic,0.39,0.4,-0.06,
490,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041118,2004,11,18,-64.03,-32.05,Atlantic,0.41,0.4,-0.06,
491,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004_Fripiat,20041119,2004,11,19,-65.1,-35,Atlantic,0.83,-99.9,-99.9,
492,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041120,2004,11,20,-66.05,-38.17,Atlantic,2.29,0.19,0,
493,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041120,2004,11,20,-66.05,-38.17,Atlantic,2.4,0.19,0,
494,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004_Fripiat,20041121,2004,11,21,-67.5,-43.6,Atlantic,1.21,-99.9,-99.9,
495,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041122,2004,11,22,-68.34,-48.52,Atlantic,2.5,0.28,0.05,
496,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041122,2004,11,22,-68.34,-48.52,Atlantic,2.175,0.28,0.05,
497,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004,20041122,2004,11,22,-68.34,-48.52,Atlantic,2.255,0.28,0.05,
498,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Transect 2004_Fripiat,20041124,2004,11,24,-68.6,-51.7,Atlantic,2.14,-99.9,-99.9,
499,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 6,20041129,2004,11,29,-68,-55,Atlantic,0.81,0.32,-99.9,
500,ISPOL,St1,20041129,2004,11,29,-68.029,-54.523,Atlantic,0.9,0.095,0.04,
501,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 9,20041201,2004,12,1,-68,-55,Atlantic,1.8,0.14,-99.9,
502,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 6,20041204,2004,12,4,-68,-55,Atlantic,1,0.24,-99.9,
503,ISPOL,2,20041204,2004,12,4,-68.069,-55.146,Atlantic,0.9,0.13,0.05,
504,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 6,20041209,2004,12,9,-68,-55,Atlantic,0.93,0.24,-99.9,
505,ISPOL,3,20041209,2004,12,9,-68,-55,Atlantic,0.9,0.25,0.03,
506,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 9,20041211,2004,12,11,-68,-55,Atlantic,1.64,0.14,-99.9,
507,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 6,20041214,2004,12,14,-68,-55,Atlantic,0.8,0.21,-99.9,
508,ISPOL,4,20041214,2004,12,14,-67.2962,-55.2342,Atlantic,0.86,0.15,0.01,
509,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 9,20041218,2004,12,18,-68,-55,Atlantic,1.63,0.13,-99.9,
510,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 6,20041219,2004,12,19,-68,-55,Atlantic,0.83,0.25,-99.9,
511,ISPOL,5,20041219,2004,12,19,-67.4643,-55.1462,Atlantic,0.89,0.11,0.02,
512,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 5,20041222,2004,12,22,-68,-55,Atlantic,1.81,0.85,-99.9,
513,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 6,20041225,2004,12,25,-68,-55,Atlantic,0.73,0.15,-99.9,
514,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 9,20041225,2004,12,25,-68,-55,Atlantic,1.67,0.13,-99.9,
515,ISPOL,6,20041225,2004,12,25,-68,-55,Atlantic,0.9,0.0875,0.02,
516,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 6,20041230,2004,12,30,-68,-55,Atlantic,0.72,0.14,-99.9,
517,ISPOL,7,20041230,2004,12,30,-67.4811,-55.3453,Atlantic,0.86,0.06,0.01,
518,ANTARKTIS XXII/2 (IPSOL 2004),IPSOL Site 5,20041231,2004,12,31,-68,-55,Atlantic,2.26,0.84,-99.9,
519,ANTARKTIS XXIII/7 (WWOS 2006),060909BGC,20060909,2006,9,9,-60.597,-41.583,Atlantic,1.2,0.37,0.06,
520,ANTARKTIS XXIII/7 (WWOS 2006),060909HA,20060909,2006,9,9,-60.596,-41.584,Atlantic,1.16,0.32,-99.9,
521,ANTARKTIS XXIII/7 (WWOS 2006),060909HB,20060909,2006,9,9,-60.596,-41.584,Atlantic,1,0.52,-99.9,
522,ANTARKTIS XXIII/7 (WWOS 2006),060919BGC,20060919,2006,9,19,-60.305,-50.769,Atlantic,1.9,0.36,0.26,
523,ANTARKTIS XXIII/7 (WWOS 2006),060919HA,20060919,2006,9,19,-60.314,-50.79,Atlantic,1.48,0.27,-99.9,
524,ANTARKTIS XXIII/7 (WWOS 2006),060919HB,20060919,2006,9,19,-60.314,-50.79,Atlantic,1.32,0.3,-99.9,
525,ANTARKTIS XXIII/7 (WWOS 2006),060920HA,20060920,2006,9,20,-60.324,-49.494,Atlantic,0.81,0.046,-99.9,
526,ANTARKTIS XXIII/7 (WWOS 2006),060921BGC,20060921,2006,9,21,-60.292,-48.002,Atlantic,1.4,0.35,0.07,
527,ANTARKTIS XXIII/7 (WWOS 2006),060921HA,20060921,2006,9,21,-60.292,-48.002,Atlantic,1.36,0.27,-99.9,
528,ANTARKTIS XXIII/7 (WWOS 2006),060921HB,20060921,2006,9,21,-60.292,-48.002,Atlantic,1.45,0.28,-99.9,
529,ANTARKTIS XXIII/7 (WWOS 2006),060924BGC,20060924,2006,9,24,-60.737,-48.331,Atlantic,0.88,0.44,0.01,
530,ANTARKTIS XXIII/7 (WWOS 2006),060924HA,20060924,2006,9,24,-60.737,-48.331,Atlantic,1.24,0.41,-99.9,
531,ANTARKTIS XXIII/7 (WWOS 2006),060926BGC,20060926,2006,9,26,-61.186,-48.892,Atlantic,1.01,0.54,0.02,
532,ANTARKTIS XXIII/7 (WWOS 2006),060926HA,20060926,2006,9,26,-61.187,-48.879,Atlantic,1.16,0.24,-99.9,
533,ANTARKTIS XXIII/7 (WWOS 2006),060928HA,20060928,2006,9,28,-61.709,-49.062,Atlantic,0.87,0.09,-99.9,
534,ANTARKTIS XXIII/7 (WWOS 2006),060930BGC,20060930,2006,9,30,-62.17,-50.572,Atlantic,1.4,0.36,0.04,
535,ANTARKTIS XXIII/7 (WWOS 2006),060930HA,20060930,2006,9,30,-62.17,-50.572,Atlantic,1.26,0.32,-99.9,
536,ANTARKTIS XXIII/7 (WWOS 2006),061001HA,20061001,2006,10,1,-62.835,-52.444,Atlantic,0.62,0.02,-99.9,
537,ANTARKTIS XXIII/7 (WWOS 2006),061002BGC,20061002,2006,10,2,-63.65,-53.826,Atlantic,1.27,0.16,0.1,
538,ANTARKTIS XXIII/7 (WWOS 2006),061002HA,20061002,2006,10,2,-63.649,-53.825,Atlantic,1.24,0.035,-99.9,
539,ANTARKTIS XXIII/7 (WWOS 2006),061003HA,20061003,2006,10,3,-64.275,-54.578,Atlantic,1.29,0.07,-99.9,
540,ANTARKTIS XXIII/7 (WWOS 2006),061005BGC,20061005,2006,10,5,-64.725,-57.331,Atlantic,1.55,0.12,0.12,
541,ANTARKTIS XXIII/7 (WWOS 2006),061008BGC,20061008,2006,10,8,-65.106,-57.391,Atlantic,1.15,0.12,0.12,
542,ANTARKTIS XXIII/7 (WWOS 2006),061008HA,20061008,2006,10,8,-65.102,-57.393,Atlantic,1.08,0.02,-99.9,
543,ANTARKTIS XXIII/7 (WWOS 2006),061008HB,20061008,2006,10,8,-65.102,-57.393,Atlantic,1.08,0.02,-99.9,
544,ANTARKTIS XXIII/7 (WWOS 2006),061009BGC,20061009,2006,10,9,-65.052,-57.343,Atlantic,1.21,0.05,0.1,
545,ANTARKTIS XXIII/7 (WWOS 2006),061009HA,20061009,2006,10,9,-65.057,-57.363,Atlantic,1.34,0.02,-99.9,
546,ANTARKTIS XXIII/7 (WWOS 2006),061010HA,20061010,2006,10,10,-65.052,-57.343,Atlantic,1.42,0.03,-99.9,
547,ANTARKTIS XXIII/7 (WWOS 2006),061011BGC,20061011,2006,10,11,-64.189,-54.399,Atlantic,0.99,0.1,0.06,
548,ANTARKTIS XXIII/7 (WWOS 2006),061011HA,20061011,2006,10,11,-64.189,-54.399,Atlantic,0.99,0.03,-99.9,
549,ANTARKTIS XXIII/7 (WWOS 2006),061013BGC,20061013,2006,10,13,-63.832,-54.13,Atlantic,1.37,0.13,0.12,
550,ANTARKTIS XXIII/7 (WWOS 2006),061013HA,20061013,2006,10,13,-63.832,-54.13,Atlantic,1.32,0.02,-99.9,
551,NBP0608,StB,20061110,2006,11,10,-69.77163333,-176.5846667,Ross,0.7,-99.9,-99.9,
552,NBP0608,StC,20061111,2006,11,11,-70.32096667,-177.10735,Ross,0.56,-99.9,-99.9,
553,NBP0608,StD,20061112,2006,11,12,-72.615,-178.4796667,Ross,0.56,-99.9,-99.9,
554,NBP0608,StF,20061113,2006,11,13,-74.28995,179.2616667,Ross,0.56,0.25,-99.9,
555,NBP0608,StG_Fripiat,20061123,2006,11,23,-76.9,168.3,Ross,0.52,-99.9,-99.9,
556,NBP0608,StG,20061123,2006,11,23,-76.93161667,168.2858667,Ross,0.56,0.25,-99.9,
557,NBP0608,StH,20061201,2006,12,1,-77.33375,167.9623,Ross,0.7,0.17,-99.9,
558,SIPEX,1,20070911,2007,9,11,-64.22955,127.9522,Australian,0.55,0.048,0.045,
559,SIPEX,Optics-1A,20070911,2007,9,11,-64.2333,128,Australian,0.88,-99.9,-99.9,
560,SIPEX,Optics-1B,20070911,2007,9,11,-64.2333,128,Australian,0.55,-99.9,-99.9,
561,SIPEX,1_Fripiat,20070911,2007,9,11,-64.4,128,Australian,1.03,0.24,-99.9,
562,SIPEX,1,20070911,2007,9,11,-64.43139,127.98667,Australian,1.05,0.235,-99.9,
563,SIPEX,2_Fripiat,20070912,2007,9,12,-64.5,128.1,Australian,0.88,0.04,0.04,
564,SIPEX,2,20070912,2007,9,12,-64.4869,128.1027333,Australian,0.96,0.042,0.04,
565,SIPEX,Optics-2A,20070912,2007,9,12,-64.4833,128.1,Australian,0.58,-99.9,-99.9,
566,SIPEX,Optics-2B,20070912,2007,9,12,-64.4833,128.1,Australian,0.67,-99.9,-99.9,
567,SIPEX,Optics-2C,20070912,2007,9,12,-64.4833,128.1,Australian,1.06,-99.9,-99.9,
568,SIPEX,3_Fripiat,20070914,2007,9,14,-64.4,127.1,Australian,0.46,0.02,-0.04,
569,SIPEX,3,20070914,2007,9,14,-64.4,127.1333333,Australian,0.52,0.023,-0.035,
570,SIPEX,Optics-3A,20070914,2007,9,14,-64.3833,127.1833,Australian,0.46,-99.9,-99.9,
571,SIPEX,Optics-3B,20070914,2007,9,14,-64.3833,127.1833,Australian,0.52,-99.9,-99.9,
572,SIPEX,Optics-3C,20070914,2007,9,14,-64.3833,127.1833,Australian,0.79,-99.9,-99.9,
573,SIPEX,3,20070914,2007,9,14,-64.4,127.1333,Australian,0.6,0.2,-99.9,
574,SIPEX,5,20070918,2007,9,18,-65.5244,124.752,Australian,0.9,0.013,0.02,
575,SIPEX,5,20070918,2007,9,18,-65.6458,124.7839,Australian,0.98,0.2,-99.9,
576,SIPEX,6,20070920,2007,9,20,-65.5884,122.58405,Australian,0.83,0.01,0.065,
577,SIPEX,Optics-6A,20070920,2007,9,20,-65.5833,122.5833,Australian,0.37,-99.9,-99.9,
578,SIPEX,Optics-6B,20070920,2007,9,20,-65.5833,122.5833,Australian,0.58,-99.9,-99.9,
579,SIPEX,Optics-6C,20070920,2007,9,20,-65.5833,122.5833,Australian,0.37,-99.9,-99.9,
580,SIPEX,6,20070920,2007,9,20,-65.66778,122.59528,Australian,0.51,0.02,-99.9,
581,SIPEX,6_Fripiat,20070921,2007,9,21,-65.6,122.6,Australian,0.76,0.01,0.07,
582,SIPEX,7_Fripiat,20070922,2007,9,22,-65.6,121.5,Australian,0.49,0.03,0.04,
583,SIPEX,7,20070922,2007,9,22,-65.5582,121.5273333,Australian,0.55,0.027,0.035,
584,SIPEX,Optics-7A,20070922,2007,9,22,-65.5667,121.5,Australian,0.55,-99.9,-99.9,
585,SIPEX,8,20070925,2007,9,25,-65.55468333,118.8746667,Australian,0.39,0.01,0.01,
586,SIPEX,Optics-8A,20070925,2007,9,25,-65.55,118.8667,Australian,0.37,-99.9,-99.9,
587,SIPEX,Optics-8B,20070925,2007,9,25,-65.55,118.8667,Australian,0.37,-99.9,-99.9,
588,SIPEX,Optics-8C,20070925,2007,9,25,-65.55,118.8667,Australian,0.4,-99.9,-99.9,
589,SIPEX,8_Fripiat,20070925,2007,9,25,-65.6,118.9,Australian,0.35,0.01,0.01,
590,SIPEX,8,20070925,2007,9,25,-65.62806,119,Australian,0.345,0.03,-99.9,
591,SIPEX,9,20070928,2007,9,28,-65.34353333,118.5634833,Australian,0.97,0.051,0.02,
592,SIPEX,Optics-9A,20070928,2007,9,28,-65.35,118.5667,Australian,1.09,-99.9,-99.9,
593,SIPEX,Optics-10A,20070929,2007,9,29,-64.95,119.1333,Australian,0.37,-99.9,-99.9,
594,SIPEX,Optics-10B,20070929,2007,9,29,-64.95,119.1333,Australian,0.55,-99.9,-99.9,
595,SIPEX,Optics-10C,20070929,2007,9,29,-64.95,119.1333,Australian,0.88,-99.9,-99.9,
596,SIPEX,Optics-10D,20070929,2007,9,29,-64.95,119.1333,Australian,0.34,-99.9,-99.9,
597,SIPEX,Optics-10E,20070929,2007,9,29,-64.95,119.1333,Australian,0.34,-99.9,-99.9,
598,SIPEX,10_Fripiat,20070930,2007,9,30,-64.9,119.1,Australian,1.28,0,-0.04,
599,SIPEX,10,20070930,2007,9,30,-64.94255,119.13275,Australian,1.32,0,-0.035,
600,SIPEX,10_Lannuzel_Fripiat,20070930,2007,9,30,-65.1,119.4,Australian,0.33,0.15,-99.9,
601,SIPEX,10_Lannuzel,20070930,2007,9,30,-65.08694,119.38472,Australian,0.345,0.15,-99.9,
602,SIMBA,BXL1,20071001,2007,10,1,-70.4,-94.1,Bellingshausen/Amundsen,0.62,0.1,0.03,
603,SIPEX,Optics-11A,20071002,2007,10,2,-65.0167,117.5333,Australian,1,-99.9,-99.9,
604,SIPEX,Optics-11B,20071002,2007,10,2,-65.0167,117.5333,Australian,1.06,-99.9,-99.9,
605,SIMBA,LG1_Fripiat,20071003,2007,10,3,-70.26,-94.56,Bellingshausen/Amundsen,1.07,0.28,0.03,
606,SIMBA,LG1,20071003,2007,10,3,-70.26,-94.56,Bellingshausen/Amundsen,1.12,0.28,0.025,
607,SIPEX,11_Fripiat,20071003,2007,10,3,-65,117.7,Australian,1.04,0.09,0.02,
608,SIPEX,11,20071003,2007,10,3,-65.02365,117.6995,Australian,1.08,0.089,0.02,
609,SIPEX,11_Lannuzel_Fripiat,20071003,2007,10,3,-65.1,118,Australian,0.38,0.2,-99.9,
610,SIPEX,11_Lannuzel,20071003,2007,10,3,-65.13306,117.95278,Australian,0.43,0.2,-99.9,
611,SIPEX,12_Fripiat,20071005,2007,10,5,-64.9,117,Australian,2.04,0.09,0.08,
612,SIPEX,12,20071005,2007,10,5,-64.9,117,Australian,1.99,0.091,0.075,
613,SIMBA,BXL2,20071006,2007,10,6,-70.19,-93.73,Bellingshausen/Amundsen,0.635,0.11,0.01,
614,SIPEX,13_Fripiat,20071006,2007,10,6,-64.7,116.8,Australian,0.79,0.05,0.07,
615,SIPEX,13,20071006,2007,10,6,-64.7148,116.8017667,Australian,0.82,0.046,0.065,
616,SIPEX,Optics-13A,20071006,2007,10,6,-64.7333,116.8167,Australian,0.87,-99.9,-99.9,
617,SIPEX,Optics-13B,20071006,2007,10,6,-64.7333,116.8167,Australian,0.43,-99.9,-99.9,
618,SIPEX,Optics-13C,20071006,2007,10,6,-64.7333,116.8167,Australian,1.15,-99.9,-99.9,
619,SIPEX,13,20071006,2007,10,6,-64.94667,116.82944,Australian,1,0.125,-99.9,
620,SIPEX,14,20071007,2007,10,7,-64.3,116.83333,Australian,0.96,0.105,-99.9,
621,SIPEX,14a_Fripiat,20071007,2007,10,7,-64.3,116.8,Australian,0.54,0.07,0.03,
622,SIPEX,14b_Fripiat,20071007,2007,10,7,-64.3,116.8,Australian,1.03,0.07,0.03,
623,SIPEX,14c_Fripiat,20071007,2007,10,7,-64.3,116.8,Australian,0.98,0.07,0.03,
624,SIPEX,14a,20071007,2007,10,7,-64.3,116.8333,Australian,0.58,0.068,0.03,
625,SIPEX,Optics-14a,20071007,2007,10,7,-64.3167,116.8167,Australian,1.3,-99.9,-99.9,
626,SIMBA,LG2,20071008,2007,10,8,-69.97,-93.02,Bellingshausen/Amundsen,1.1,0.35,0.01,
627,SIPEX,15a,20071010,2007,10,10,-64.66666667,120.6,Australian,0.48,0.054,0.025,
628,SIPEX,15a_Fripiat,20071010,2007,10,10,-64.7,120.6,Australian,0.99,0.05,0.03,
629,SIPEX,15b_Fripiat,20071010,2007,10,10,-64.7,120.6,Australian,0.42,0.05,0.03,
630,SIMBA,BXL3,20071011,2007,10,11,-69.77,-92.13,Bellingshausen/Amundsen,0.625,0.25,0.01,
631,SIMBA,LG3,20071013,2007,10,13,-69.69,-92.04,Bellingshausen/Amundsen,0.95,0.34,-99.9,
632,SIMBA,LG3_Fripiat,20071013,2007,10,13,-69.69,-92.04,Bellingshausen/Amundsen,0.95,0.37,0,
633,SIMBA,BXL4,20071016,2007,10,16,-69.55,-92.37,Bellingshausen/Amundsen,0.68,0.08,0.02,
634,SIMBA,LG4,20071018,2007,10,18,-69.67,-92.64,Bellingshausen/Amundsen,1.015,0.37,-0.01,
635,SIMBA,BXL5,20071021,2007,10,21,-70.06,-93.66,Bellingshausen/Amundsen,0.7,0.15,0.02,
636,SIMBA,LG5,20071023,2007,10,23,-70.05,-94.14,Bellingshausen/Amundsen,1.01,0.38,0,
637,OSO08-09,1_Fripiat,20081212,2008,12,12,-70.7,-107,Bellingshausen/Amundsen,0.8,0.32,-99.9,
638,OSO08-09,1,20081212,2008,12,12,-70.651,-107.0061667,Bellingshausen/Amundsen,1,0.32,-99.9,
639,OSO08-09,2_core_a,20081213,2008,12,13,-71.12583333,-109.0821667,Bellingshausen/Amundsen,1.6,0.55,-99.9,
640,OSO08-09,2_core_b,20081213,2008,12,13,-71.12583333,-109.0821667,Bellingshausen/Amundsen,1.48,0.55,-99.9,
641,OSO08-09,6,20081214,2008,12,14,-71.10783333,-110.5026667,Bellingshausen/Amundsen,1.1,0.47,-99.9,
642,OSO08-09,OSO_08_3,20081214,2008,12,14,-71.11,-110.5,Bellingshausen/Amundsen,0.7,0.33,-99.9,
643,OSO08-09,13,20081216,2008,12,16,-71.7095,-112.1133333,Bellingshausen/Amundsen,1.7,0.38,0.17,
644,OSO08-09,OSO_08_4_a,20081216,2008,12,16,-71.71,-112.11,Bellingshausen/Amundsen,1.73,0.34,-99.9,
645,OSO08-09,OSO_08_4_b,20081216,2008,12,16,-71.71,-112.11,Bellingshausen/Amundsen,1.78,0.34,-99.9,
646,OSO08-09,16_Fripiat,20081217,2008,12,17,-71.8,-114.1,Bellingshausen/Amundsen,1.7,0.28,-99.9,
647,OSO08-09,16,20081217,2008,12,17,-71.83916667,-114.1143333,Bellingshausen/Amundsen,2.4,0.28,-99.9,
648,OSO08-09,18,20081218,2008,12,18,-72.91516667,-115.0506667,Bellingshausen/Amundsen,1.1,0.55,-99.9,
649,OSO08-09,OSO_08_6,20081218,2008,12,18,-72.92,115.05,Bellingshausen/Amundsen,2.8,0.8,-99.9,
650,OSO08-09,21_Fripiat,20081220,2008,12,20,-72.6,-116,Bellingshausen/Amundsen,1.1,0.05,-99.9,
651,OSO08-09,21,20081220,2008,12,20,-72.59966667,-116.0246667,Bellingshausen/Amundsen,1.13,0.05,-99.9,
652,OSO08-09,OSO_08_7,20081220,2008,12,20,-72.6,-116.02,Bellingshausen/Amundsen,1.01,0.08,-99.9,
653,OSO08-09,27_Fripiat,20081221,2008,12,21,-72.6,-116,Bellingshausen/Amundsen,1.9,0.47,-99.9,
654,OSO08-09,27,20081221,2008,12,21,-72.42316667,-115.957,Bellingshausen/Amundsen,2.9,0.47,-99.9,
655,OSO08-09,OSO_08_8,20081221,2008,12,21,-72.42,-115.96,Bellingshausen/Amundsen,1.6,0.47,-99.9,
656,OSO08-09,33_Fripiat,20081222,2008,12,22,-71.9,-118.4,Bellingshausen/Amundsen,1.13,0.6,-99.9,
657,OSO08-09,33,20081222,2008,12,22,-71.92283333,-118.3846667,Bellingshausen/Amundsen,1.25,0.6,-99.9,
658,OSO08-09,OSO_08_9,20081222,2008,12,22,-71.92,-118.38,Bellingshausen/Amundsen,0.89,0.59,-99.9,
659,OSO08-09,35_Fripiat,20081223,2008,12,23,-70.2,-120,Bellingshausen/Amundsen,0.4,0.18,-99.9,
660,OSO08-09,35,20081223,2008,12,23,-70.15233333,-119.9483333,Bellingshausen/Amundsen,0.55,0.18,-99.9,Remove a freeboard value of 0.34
661,OSO08-09,OSO_08_10,20081223,2008,12,23,-70.15,-119.95,Bellingshausen/Amundsen,0.59,0.18,-99.9,
662,OSO08-09,36_Fripiat,20081226,2008,12,26,-69.4,-125.4,Bellingshausen/Amundsen,0.7,0.36,-99.9,
663,OSO08-09,36,20081226,2008,12,26,-69.414,-125.3823333,Bellingshausen/Amundsen,0.97,0.36,-99.9,
664,OSO08-09,OSO_08_11,20081226,2008,12,26,-69.41,-125.38,Bellingshausen/Amundsen,1.05,0.3,-99.9,
665,OSO08-09,37_Fripiat,20081227,2008,12,27,-70.2,-133.5,Ross,1.1,0.71,-99.9,
666,OSO08-09,37,20081227,2008,12,27,-70.21866667,-133.5378333,Ross,1.5,0.71,-99.9,
667,OSO08-09,38,20081228,2008,12,28,-71.07466667,-138.0415,Ross,0.6,0.15,0.03,
668,OSO08-09,OSO_08_13,20081228,2008,12,28,-71.07,-138.04,Ross,0.7,0.14,-99.9,
669,OSO08-09,39_Fripiat,20081229,2008,12,29,-72.5,-144.7,Ross,1.2,0.17,-99.9,
670,OSO08-09,39,20081229,2008,12,29,-72.51033333,-144.7296667,Ross,1.79,0.74,-99.9,
